Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
Mulungushi University,"Kabwe, Zambia",,,,,,,,,,,
Murang'a University of Technology,"Muranga, Kenya",,,,,,,,,,,
Musashino University,"Tokyo, Japan",,,,,,,,,,,
Myrat Garryyev State Medical University of Turkmenistan,"Ashgabat, Turkmenistan",,,,,,,,,,,
Nahdlatul Ulama University Surabaya,"Surabaya, Indonesia",,,,,,,,,,,
Nakhon Ratchasima Rajabhat University,"Mueang Nakhon Ratchasima, Thailand",,,,,,,,,,,
Namangan State Pedagogical Institute,"Namangan, Uzbekistan",,,,,,,,,,,
Namangan State Technical University,"Namangan City, Uzbekistan",,,,,,,,,,,
Narxoz University,"ALA, Kazakhstan",,,,,,,,,,,
"Nasarawa State University, Keffi","Keffi, Nigeria",,,,,,,,,,,
National Defence University - Pakistan,"Islamabad, Pakistan",,,,,,,,,,,
National Film and Television School,"Beaconsfield, United Kingdom",,,,,,,,,,,
National Polytechnic University of Armenia,"Yerevan, Armenia",,,,,,,,,,,
National School of Artificial Intelligence (ENSIA),"Sidi Abdellah, Algeria",,,,,,,,,,,
National Taichung University of Education,Taiwan,,,,,,,,,,,
National Transport University,"Kyiv, Ukraine",,,,,,,,,,,
National University Odessa Law Academy,"Odessa, Ukraine",,,,,,,,,,,
National University of Education (UNAE),Ecuador,,,,,,,,,,,
National University of Food Technologies,"Kyiv, Ukraine",,,,,,,,,,,
National University of Loja,"La Argelia, Ecuador",,,,,,,,,,,
National University of Modern Languages (NUML),"Islamabad, Pakistan",,,,,,,,,,,
National University of Pharmacy,"Kharkiv, Ukraine",,,,,,,,,,,
National University of Science and Technology (Iraq),"Dhi-Qar, Iraq",,,,,,,,,,,
National University of Science and Technology (NUST),"Bulawayo, Zimbabwe",,,,,,,,,,,
"National University of Science and Technology, Oman","Bawshar, Oman",,,,,,,,,,,
National University of Technology,"Islamabad, Pakistan",,,,,,,,,,,
National University Philippines,"Manila, Philippines",,,,,,,,,,,
National University “Yuri Kondratyuk Poltava Polytechnic”,"Poltava, Ukraine",,,,,,,,,,,
Navoi State University,"Navoi, Uzbekistan",,,,,,,,,,,
Navoi State University of Mining and Technologies,"Navoiy, Uzbekistan",,,,,,,,,,,
New Model Institute for Technology and Engineering (NMITE),"Hereford, United Kingdom",,,,,,,,,,,
Niigata University of Health and Welfare,"Niigata City, Japan",,,,,,,,,,,
Ninevah University,"Nineveh, Iraq",,,,,,,,,,,
North Borneo University College,"Kota Kinabalu, Malaysia",,,,,,,,,,,
Northern University,"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,
Norwich University of the Arts,"Norwich, United Kingdom",,,,,,,,,,,
Notre Dame of Dadiangas University,"General Santos City, Philippines",,,,,,,,,,,
NSBM Green University,"Homagama, Sri Lanka",,,,,,,,,,,
Nueva Ecija University of Science and Technology (NEUST),"Cabanatuan City, Philippines",,,,,,,,,,,
Nueva Vizcaya State University,"Bayombong City, Philippines",,,,,,,,,,,
Nukus Innovation Institute,"Nukus, Uzbekistan",,,,,,,,,,,
Nusa Putra University,"Sukabumi, Indonesia",,,,,,,,,,,
Odesa National Maritime University,"Odesa, Ukraine",,,,,,,,,,,
Odesa Polytechnic National University,"Odesa, Ukraine",,,,,,,,,,,
Oguz Han Engineering and Technology University of Turkmenistan,"Asgabat saher, Turkmenistan",,,,,,,,,,,
Oman Dental College,Oman,,,,,,,,,,,
O.M. Beketov National University of Urban Economy in Kharkiv,"Kharkiv, Ukraine",,,,,,,,,,,
Oran Graduate School of Economics,"Bir El Djir, Algeria",,,,,,,,,,,
ORT Uruguay University,"Montevideo, Uruguay",,,,,,,,,,,
Ostrogradsky National University of Kremenchuk,"Kremenchuk, Ukraine",,,,,,,,,,,
Otemon Gakuin University,"Ibaraki City, Japan",,,,,,,,,,,
Palestine Ahliya University,"Bethlehem, Palestinian Territories",,,,,,,,,,,
Palestine Polytechnic University,"Hebron, Palestinian Territories",,,,,,,,,,,
Palestine Technical University – Kadoorie,"Tulkarm, Palestinian Territories",,,,,,,,,,,
Pangasinan State University,"Poblacion, Philippines",,,,,,,,,,,
Panteion University of Social and Political Sciences,"Athens, Greece",,,,,,,,,,,
Panthéon-Assas University (Paris 2),"Paris, France",,,,,,,,,,,
Parahyangan Catholic University,"Jawa Barat, Indonesia",,,,,,,,,,,
Parul University,"Vadodara, India",,,,,,,,,,,
Pavlo Tychyna Uman State Pedagogical University,"Uman, Ukraine",,,,,,,,,,,
Peoples University of Medical & Health Sciences for Women - Shaheed Benazirabad,"Nawabshah, Pakistan",,,,,,,,,,,
Petra Christian University,"Surabaya, Indonesia",,,,,,,,,,,
Petroleum Higher School,"Almetyevsk, Russia",,,,,,,,,,,
Petroleum University of Technology,"Tehran, Iran",,,,,,,,,,,
Pharos University,"ALX, Egypt",,,,,,,,,,,
Philadelphia University (Jordan),"Amman, Jordan",,,,,,,,,,,
Piri Reis University,"Tuzla, Türkiye",,,,,,,,,,,
Plymouth Marjon University,"Plymouth, United Kingdom",,,,,,,,,,,
Polissia National University,"Zhytomyr, Ukraine",,,,,,,,,,,
Polis University,"Tirana, Albania",,,,,,,,,,,
Poltava State Medical University,"Poltava, Ukraine",,,,,,,,,,,
Poltava V.G. Korolenko National Pedagogical University (PNPU),"Poltava, Ukraine",,,,,,,,,,,
Polytechnic of Guarda,"Guarda, Portugal",,,,,,,,,,,
Polytechnic University of the Philippines,"Santa Mesa, Philippines",,,,,,,,,,,
Pontificia Universidad Católica Madre y Maestra (PUCMM),"Santiago, Dominican Republic",,,,,,,,,,,
Positivo University,"Curitiba, Brazil",,,,,,,,,,,
PSB University Cambodia,"Khan Chamkarmorn, Cambodia",,,,,,,,,,,
PUC-Campinas,"Campinas, Brazil",,,,,,,,,,,
Qaiwan International University,"Sulaymaniyah, Iraq",,,,,,,,,,,
"Quaid-e-Awam University of Engineering, Science and Technology (QUEST)","Nawabshah, Pakistan",,,,,,,,,,,
Queen Margaret University,"Edinburgh, United Kingdom",,,,,,,,,,,
Queensland University,"Port-au-Prince, Haiti",,,,,,,,,,,
Quezon City University,"Quezon City, Philippines",,,,,,,,,,,
Q University,Kazakhstan,,,,,,,,,,,
Raden Mas Said State Islamic University Surakarta,"Sukoharjo, Indonesia",,,,,,,,,,,
Rajamangala University of Technology Krungthep,"Bangkok, Thailand",,,,,,,,,,,
Rajamangala University of Technology Phra Nakhon,"Vachira Phayaban Dusit, Thailand",,,,,,,,,,,
Rajamangala University of Technology Suvarnabhumi,"Nakhon Sawan, Thailand",,,,,,,,,,,
Rajarata University of Sri Lanka,"Mihintale, Sri Lanka",,,,,,,,,,,
RAK Medical and Health Sciences University,United Arab Emirates,,,,,,,,,,,
Rawalpindi Medical University,"Satellite Town, Rawalpindi,, Pakistan",,,,,,,,,,,
Redeemer’s University,"Ede, Nigeria",,,,,,,,,,,
Riara University,"Nairobi, Kenya",,,,,,,,,,,
Ritsumeikan Asia Pacific University (APU),"Beppu, Japan",,,,,,,,,,,
Rivers State University,"Port Harcourt, Nigeria",,,,,,,,,,,
Roi Et Rajabhat University,"Selaphum District, Thailand",,,,,,,,,,,
Rome Business School,"Roma, Italy",,,,,,,,,,,
Rose Bruford College,"Sidcup, United Kingdom",,,,,,,,,,,
Royal Academy of Dramatic Art (RADA),"Camden, United Kingdom",,,,,,,,,,,
Royal Academy of Music,"London, United Kingdom",,,,,,,,,,,
Royal Agricultural University,"Cirencester, United Kingdom",,,,,,,,,,,
"Royal Central School of Speech and Drama, University of London","Camden, United Kingdom",,,,,,,,,,,
Royal College of Art,"Kensington, United Kingdom",,,,,,,,,,,
Royal College of Music,"Kensington, United Kingdom",,,,,,,,,,,
Royal Conservatoire of Scotland,"Glasgow, United Kingdom",,,,,,,,,,,
Royal Northern College of Music,"Manchester, United Kingdom",,,,,,,,,,,
Royal University for Women (RUW),"West Riffa, Bahrain",,,,,,,,,,,
Rudny Industrial University,"Rudny, Kazakhstan",,,,,,,,,,,
Sabratha University,"Sabratha, Libya",,,,,,,,,,,
SAGE University Indore,"Indore, India",,,,,,,,,,,
Saint Louis University (Philippines),"Baguio, Philippines",,,,,,,,,,,
Sakon Nakhon Rajabhat University,"Sakon Nakhon, Thailand",,,,,,,,,,,
Samarkand Institute of Economics and Service (SamISI),"Samarkand, Uzbekistan",,,,,,,,,,,
Samarkand State Institute of Architecture and Construction,"Samarkand, Uzbekistan",,,,,,,,,,,
Samarkand State Institute of Foreign Languages,"Samarkand, Uzbekistan",,,,,,,,,,,
Samarkand State Medical University,"Samarkand city, Uzbekistan",,,,,,,,,,,
Samarkand State University,"Samarkand region, Uzbekistan",,,,,,,,,,,
Samsun University,"Samsun, Türkiye",,,,,,,,,,,
Sanko University,"Sehitkamil, Türkiye",,,,,,,,,,,
Santosh Deemed to be University,"Ghaziabad, India",,,,,,,,,,,
Sarsen Amanzholov East Kazakhstan University,"East Kazakhstan region, Kazakhstan",,,,,,,,,,,
Satya Wacana Christian University,"Salatiga, Indonesia",,,,,,,,,,,
Sawa University,"Al-Muthanna, Iraq",,,,,,,,,,,
SBS Swiss Business School,"Kloten, Switzerland",,,,,,,,,,,
School of Higher Commercial Studies (EHEC Algiers),"Algiers, Algeria",,,,,,,,,,,
SDU University,"Kaskelen, Kazakhstan",,,,,,,,,,,
SEGi University,"Petaling Jaya, Malaysia",,,,,,,,,,,
Senshu University,"Tokyo, Japan",,,,,,,,,,,
Shaheed Benazir Bhutto University,"Nawab Shah, Pakistan",,,,,,,,,,,
Shaheed Benazir Bhutto Women University Peshawar,"Peshawar, Pakistan",,,,,,,,,,,
Shaheed Mohtarma Benazir Bhutto Medical University,"Larkana, Pakistan",,,,,,,,,,,
Shahrisabz State Pedagogical Institute,"Shahrisabz City, Uzbekistan",,,,,,,,,,,
Shakarim University,"Semey city, Kazakhstan",,,,,,,,,,,
Sher-e-Bangla Agricultural University (SAU),"Dhaka, Bangladesh",,,,,,,,,,,
Shirak State University,"Gyumri, Armenia",,,,,,,,,,,
Simón Bolívar University (Colombia),"ATL, Colombia",,,,,,,,,,,
Simon Kuznets Kharkiv National University of Economics,"Kharkiv, Ukraine",,,,,,,,,,,
Sisaket Rajabhat University,"Mueang Si Sa Ket District, Thailand",,,,,,,,,,,
Social Sciences University of Ankara,"Altindag, Türkiye",,,,,,,,,,,
Sohar University,"Sohar, Oman",,,,,,,,,,,
Sorsogon State University,"Sorsogon City, Philippines",,,,,,,,,,,
South East European University,"Tetovo, North Macedonia",,,,,,,,,,,
Southern Luzon State University,Philippines,,,,,,,,,,,
Southern Technical University,"Basra, Iraq",,,,,,,,,,,
South Mediterranean University (SMU),"Tunis, Tunisia",,,,,,,,,,,
Sphinx University,"New Assuit, Egypt",,,,,,,,,,,
Sri Balaji Vidyapeeth,"Pillaiyarkuppam, India",,,,,,,,,,,
Sri Padmavati Mahila Visvavidyalayam (Women's University),"Chittoor (D.t), India",,,,,,,,,,,
State Energy Institute of Turkmenistan,"Mary City, Turkmenistan",,,,,,,,,,,
State Polytechnic of Malang,"Kota Malang, Indonesia",,,,,,,,,,,
St Luke’s International University,"Chuo-ku, Japan",,,,,,,,,,,
"St Mary’s University College, Belfast","Belfast, United Kingdom",,,,,,,,,,,
"St Mary’s University, Twickenham","Twickenham, United Kingdom",,,,,,,,,,,
Stranmillis University College,"Belfast, United Kingdom",,,,,,,,,,,
Sugiyama Jogakuen University,"Nagoya, Japan",,,,,,,,,,,
Sulaimani Polytechnic University,"Sulaymaniyah, Iraq",,,,,,,,,,,
Sumgayit State University,"Sumgait, Azerbaijan",,,,,,,,,,,
Sumy State Pedagogical University named after A.S. Makarenko,"Sumy, Ukraine",,,,,,,,,,,
Swiss German University,"Tangerang, Indonesia",,,,,,,,,,,
Tafila Technical University,"Tafila, Jordan",,,,,,,,,,,
Tajik National University,"Dushanbe, Tajikistan",,,,,,,,,,,
Tarlac Agricultural University,"TAR, Philippines",,,,,,,,,,,
Tarsus University,"Tarsus, Türkiye",,,,,,,,,,,
Tashkent Institute of Chemical Technology,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent Institute of Management and Economics,"Tashkent City, Uzbekistan",,,,,,,,,,,
Tashkent Institute of Textile and Light Industry,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent International University of Financial Management and Technology (TIFT),"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent Metropolitan University,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent Pediatric Medical Institute,"Yunusabad district, Uzbekistan",,,,,,,,,,,
Tashkent Pharmaceutical Institute,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent State Agrarian University,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent State Dental Institute,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent State Medical University,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent State Pedagogical University named after Nizami,"Tashkent city, Uzbekistan",,,,,,,,,,,
Tashkent State Transport University,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent State University of Economics,"Tashkent City, Uzbekistan",,,,,,,,,,,
Tashkent State University of Law,"Tashkent, Uzbekistan",,,,,,,,,,,
Tashkent State University of Oriental Studies,"Tashkent city, Uzbekistan",,,,,,,,,,,
Tata Institute of Fundamental Research,India,601800,,,,,,,,,,
Tbilisi State Medical University,"Tbilisi, Georgia",,,,,,,,,,,
T. C. Demiroğlu Bilim University,"Istanbul, Türkiye",,,,,,,,,,,
Teacher Education College of Setif,"El Eulma, Algeria",,,,,,,,,,,
Technical University of Cotopaxi (UTC),"Latacunga, Ecuador",,,,,,,,,,,
Technical University of the North,"Ibarra, Ecuador",,,,,,,,,,,
Technische Hochschule Ingolstadt,"Ingolstadt, Germany",,,,,,,,,,,
Teerthanker Mahaveer University,"Moradabad, India",,,,,,,,,,,
Teikyo Heisei University,"Toshima-ku, Japan",,,,,,,,,,,
Termez State Pedagogical Institute,"Termez, Uzbekistan",,,,,,,,,,,
Termez State University,"Termez, Uzbekistan",,,,,,,,,,,
Termez University of Economics and Services,"Termiz, Uzbekistan",,,,,,,,,,,
Thaksin University,"Songkhla, Thailand",,,,,,,,,,,
The British University in Dubai,"PO Box 345015, United Arab Emirates",,,,,,,,,,,
The Chartered Institute of Digital Economy,"Singapore, Singapore",,,,,,,,,,,
The Future University,"Khartoum, Sudan",,,,,,,,,,,
The Government Sadiq College Women University Bahawalpur,"Bahawalpur, Pakistan",,,,,,,,,,,
"The Graduate University for Advanced Studies, SOKENDAI","Hayama, Japan",,,,,,,,,,,
The Islamic University,"Najaf, Iraq",,,,,,,,,,,
The National University of Ostroh Academy,"Ostroh, Ukraine",,,,,,,,,,,
The Nelson Mandela African Institution of Science and Technology (NM-AIST),"Arusha, Tanzania",,,,,,,,,,,
The Public Authority for Applied Education and Training (PAAET),"Kuwait, Kuwait",,,,,,,,,,,
The University of Shiga Prefecture,"Hikone-City, Japan",,,,,,,,,,,
The University of World Economy and Diplomacy (UWED),"Tashkent City, Uzbekistan",,,,,,,,,,,
The Women University Multan,"Multan, Pakistan",,,,,,,,,,,
The World Islamic Sciences and Education University (WISE),"Amman, Jordan",,,,,,,,,,,
Thomas Adewumi University,"Oko-Irese, Nigeria",,,,,,,,,,,
T.H. Shevchenko National University Chernihiv Colehium,"Chernihiv, Ukraine",,,,,,,,,,,
Tiradentes University,"Aracaju, Brazil",,,,,,,,,,,
Tissemsilt University,"Bougara, Algeria",,,,,,,,,,,
Tohoku Gakuin University,"Sendai, Japan",,,,,,,,,,,
Tokyo University of Foreign Studies,"Tokyo, Japan",,,,,,,,,,,
Toyota Technological Institute,"Nagoya, Japan",10011200,8011000,,,,,,,,,
Transport and Telecommunication Institute,"Riga, Latvia",,,,,,,,,,,
Trinity Laban Conservatoire of Music and Dance,"Greenwich, United Kingdom",,,,,,,,,,,
Turan International University,"Namangan, Uzbekistan",,,,,,,,,,,
Turan University,"Almaty, Kazakhstan",,,,,,,,,,,
Turin Polytechnic University in Tashkent,"Tashkent City, Uzbekistan",,,,,,,,,,,
Turkmen Agricultural Institute,"Dashoguz City, Turkmenistan",,,,,,,,,,,
Turkmen Agricultural University named after S.A. Niyazov,"Ashgabat, Turkmenistan",,,,,,,,,,,
Turkmen State Architecture and Construction Institute,"Ashgabat, Turkmenistan",,,,,,,,,,,
Turkmen State Institute of Economics and Management,"Ashgabat City, Turkmenistan",,,,,,,,,,,
Turkmen State Institute of Finance,"Ashgabat, Turkmenistan",,,,,,,,,,,
UIT University,"Karachi, Pakistan",,,,,,,,,,,
UNESC,"Criciuma, Brazil",,,,,,,,,,,
